GO	Genes
GO:0043531	Glyma.01G072450
GO:0005524	Glyma.01G073400
GO:0006355	Glyma.01G074200
GO:0003700	Glyma.01G074200
GO:0016758	Glyma.01G074600
GO:0008152	Glyma.01G074600
GO:0017056	Glyma.01G074700
GO:0005643	Glyma.01G074700
GO:0005525	Glyma.01G075400
GO:0005634	Glyma.01G075800
GO:0003677	Glyma.01G075800
GO:0005634	Glyma.01G075900
GO:0003677	Glyma.01G075900
GO:0006351	Glyma.01G076000
GO:0003899	Glyma.01G076000
GO:0003677	Glyma.01G076000
GO:0046983	Glyma.01G076900
GO:0004518	Glyma.01G077200
GO:0006281	Glyma.01G077200
GO:0006289	Glyma.01G077200
GO:0005634	Glyma.01G077200
GO:0004519	Glyma.01G077200
GO:0003697	Glyma.01G077200
GO:0016740	Glyma.01G077400
GO:0006506	Glyma.01G077400
GO:0005789	Glyma.01G077400
GO:0016021	Glyma.01G077700
GO:0016020	Glyma.01G077700
GO:0022857	Glyma.01G077700
GO:0009733	Glyma.01G078200
GO:0055114	Glyma.01G078300
GO:0020037	Glyma.01G078300
GO:0016705	Glyma.01G078300
GO:0005506	Glyma.01G078300
GO:0034477	Glyma.01G079300
GO:0004518	Glyma.01G079300
GO:0005525	Glyma.01G080300
GO:0050662	Glyma.01G080700
GO:0003824	Glyma.01G080700
GO:0006355	Glyma.01G081100
GO:0003700	Glyma.01G081100
GO:0005975	Glyma.01G081300
GO:0004553	Glyma.01G081300
GO:0005975	Glyma.01G081400
GO:0004553	Glyma.01G081400
GO:0005515	Glyma.01G081500
GO:0043161	Glyma.01G081500
GO:0006289	Glyma.01G081500
GO:0003684	Glyma.01G081500
GO:0016020	Glyma.01G081600
GO:0006810	Glyma.01G081600
GO:0005215	Glyma.01G081600
GO:0016020	Glyma.01G081700
GO:0006810	Glyma.01G081700
GO:0005215	Glyma.01G081700
GO:0016746	Glyma.01G081900
GO:0008152	Glyma.01G081900
GO:0008725	Glyma.01G082000
